072A5F45	izmir institute of technology
073AD50F	hunan university of science and technology
078A8AE9	university of science and technology of china
07D2B6B9	oregon state university
07FD08C8	alpen adria universitat klagenfurt
08329DA0	southern federal university
08548E70	beijing university of posts and telecommunications
08D3D0B6	national chung cheng university
08F452CF	university of electronic science and technology of china
08F7F83A	emory university
091BC727	singapore university of technology and design
09513698	fmc corporation
099C4A9D	lahore college for women university
099D9393	university of beira interior
0AD3D01F	san diego supercomputer center
0ADA5E4F	king juan carlos university
0B4F1265	wellesley college
0B5CD1C8	lulea university of technology
0BF8A745	nanjing university of information science and technology
0C2DEF79	aarhus university
0C41D2F4	curtin university
0C6712EF	coastal carolina university
337E028A	delhi technological university
3475EBEF	ntt communications corp
3500F97D	ifs ab
357F69F2	plymouth university
35E846DF	bendix aviation
369B4898	indian institutes of information technology
4C6E8511	lawrence livermore national laboratory
4CC2F516	villagereach
4DBAC46F	nvidia
4DE730CF	institute for defense analyses
4E5C5D2F	chicago transit authority
4E65910A	zhejiang wanli university
4E69D83D	national museum of japanese history
4EB27C46	food and drug administration
4F0C6ED6	adria airways
501DA64B	university of california irvine school of humanities
00470615	university of warsaw
0084240C	volkswagen group of america
00922A53	indian institute of technology mandi
00BFD2CF	institute of ocean sciences
00F5B92B	school of geodesy and geomatics wuhan university
00FFA1D2	strategy
012431FB	chennai mathematical institute
012F592B	moscow state university
0139433B	university of electro communications
017C99DB	fudan university
0180C94B	university of pavia
018C5555	university of wurzburg
01C82785	charles darwin university
01D43A14	european institute
01D6FE3E	aarhus school of architecture
020379FB	nynex
02290965	national university of colombia
0274013C	victoria university of wellington
02965656	laval university
02A05A89	columbia business school
030D6658	eskisehir osmangazi university
036AC4C4	north dakota state university
038AE3AA	brunel university london
039AFB05	middlesex university
039DA1C4	max planck institute for human development
03A04D94	king mongkut s university of technology thonburi
03E298B8	indian institute of technology hyderabad
04002EC9	voestalpine
0476D8B7	marmara university
04AF492D	rutgers business school newark and new brunswick
04B9147D	university of seville
04DC736E	amrita vishwa vidyapeetham
0564D70F	national cancer institute
0578DF46	national cheng kung university
05A34E1E	hongik university
05DAB8C0	polytechnic institute of new york university
05E5B71B	chukyo university
067A7298	qingdao university
0690C9F1	university of akron
06918666	universidade federal de minas gerais
06DA7DC2	aalborg university copenhagen
06EB0D45	university of rome tor vergata
0790B52C	chongqing normal university
080931A9	spanish national research council
084BB75F	union carbide
08B2AABE	nara sangyo university
09037355	chung yuan christian university
092FD9CF	university of auckland
093F0669	universita campus bio medico
095F1AD2	university of east london
09622C42	aalborg university esbjerg
09856704	technical university of nova scotia
09D4F273	open university of israel
09D744C0	duquesne university
0A2FAFA5	duke university
0A4D0900	university of holguin
0A97D133	oakland university
0B3F8B19	instituto superior de engenharia do porto
0BF0D6C3	technical university of dortmund
0C190F13	huafan university
0C38690C	chicago kent college of law
0C6245A8	caci
337496DE	eclipse internet
33DBE707	department of the army
34898359	university of gothenburg
4D1CA769	government college
4EB89D5A	ontario ministry of natural resources
001C3B8F	university of basel
0054DD96	university of bari
005CEDFE	iwate prefectural university
0087D272	foundation for research technology hellas
008DE9F8	bournemouth university
012E6F4E	chinese academy of sciences
017148B8	chengdu university of information technology
0197E0DD	foothill college
01B7A80D	civil aviation university of china
01C641C3	budapest university of technology and economics
027B2292	fluid operations
02AC6C7F	university of southern mississippi
02D54009	norwegian institute of technology
031ED962	laurentian university
03356722	abasyn university
03906F0B	lamsade
0403A9D4	bayer
042C692F	mind institute
05A9F14A	university of kwazulu natal
061A86E7	university of arkansas at little rock
061BF8F3	harvard business school
062BC2E4	boston college
068DC70D	agricultural university of athens
06BEE641	college of the canyons
071AE4C7	shandong university of technology
07AB6F39	institute for logic language and computation
07BC3356	university of vienna
07F84AD1	osaka sangyo university
083E10AB	agilent technologies
08ADCF85	university of miami
08B64D4F	universidade federal de vicosa
09266AF0	national taiwan ocean university
093456D7	university of alberta
0948C934	university of hildesheim
0A7F477C	gettysburg college
0AC8F2B8	university of hyogo
0AD224B5	thales communications
0B052EDF	washington and lee university
0B1B8D25	university of passau
0BA67E13	university of aberdeen
0BAD17B3	zuse institute berlin
0BB40002	chungnam national university
0C21380B	comprehensive epilepsy center
0C2D7F2F	medical college of wisconsin
0C39A13A	kyushu institute of design
3607CCC2	upc ireland
4C58B737	dimagi
4E82707A	national archives and records administration
4E8AC000	west
4F0FAF38	fred hutchinson cancer research center
4F4B7F14	united states department of defense
007B93A0	department of computer science university of illinois at urbana champaign
00F85EDF	university of houston downtown
00FCC8AE	national pingtung university of science and technology
0147F037	aix marseille university
0159FE4E	williams college
01776B6C	university of massachusetts amherst
01FF2D19	glendon college
021B54E0	ircam
022BD15B	institute of medical science
027B658D	ege university
02B1C5D7	university of calabria
0352694C	arizona state university
037632F0	romanian academy
03C49B37	toyama prefectural university
04174390	usc viterbi school of engineering
04FFA7EC	oporto polytechnic institute
0502A721	hyogo university
0507994B	faculty of humanities
05E740A3	mississippi state university
